Solution:
Objective value = 13317.0

Dish            Hour            Requirement    Prepare         Inventory       Waste           Unfilled        Sold            
raita           7.00            5.00            0.00            3.00            0.00            2.00            3.00            
raita           8.00            5.00            10.00           0.00            0.00            0.00            5.00            
raita           9.00            0.00            0.00            5.00            0.00            0.00            0.00            
raita           10.00           1.00            0.00            5.00            3.00            0.00            1.00            
raita           11.00           5.00            10.00           1.00            0.00            0.00            5.00            
raita           12.00           9.00            20.00           6.00            8.00            0.00            9.00            
raita           13.00           3.00            0.00            9.00            5.00            0.00            3.00            
lassi           5.00            0.00            0.00            -0.00           -0.00           0.00            0.00            
lassi           6.00            5.00            0.00            0.00            -0.00           5.00            -0.00           
lassi           7.00            0.00            0.00            -0.00           -0.00           0.00            0.00            
lassi           8.00            1.00            0.00            -0.00           -0.00           1.00            -0.00           
lassi           9.00            2.00            10.00           -0.00           -0.00           0.00            2.00            
lassi           10.00           4.00            0.00            8.00            -0.00           0.00            4.00            
lassi           11.00           2.00            0.00            4.00            -0.00           0.00            2.00            
lassi           12.00           0.00            0.00            2.00            -0.00           0.00            0.00            
lassi           13.00           3.00            10.00           2.00            -0.00           0.00            3.00            
cold  coffee    5.00            2.00            0.00            -0.00           -0.00           2.00            -0.00           
cold  coffee    6.00            10.00           10.00           -0.00           -0.00           0.00            10.00           
cold  coffee    7.00            0.00            0.00            -0.00           -0.00           0.00            0.00            
cold  coffee    8.00            7.00            10.00           -0.00           -0.00           0.00            7.00            
cold  coffee    9.00            5.00            0.00            3.00            -0.00           2.00            3.00            
cold  coffee    10.00           9.00            10.00           -0.00           3.00            2.00            7.00            
cold  coffee    11.00           0.00            0.00            -0.00           -0.00           0.00            0.00            
cold  coffee    12.00           10.00           20.00           -0.00           3.00            0.00            10.00           
cold  coffee    13.00           2.00            0.00            7.00            -0.00           0.00            2.00            
toast           5.00            10.00           10.00           -0.00           -0.00           0.00            10.00           
toast           6.00            7.00            10.00           -0.00           0.00            0.00            7.00            
toast           7.00            2.00            0.00            3.00            -0.00           0.00            2.00            
toast           8.00            9.00            10.00           1.00            -0.00           0.00            9.00            
toast           9.00            2.00            0.00            2.00            -0.00           0.00            2.00            
toast           10.00           3.00            10.00           0.00            3.00            0.00            3.00            
toast           11.00           3.00            10.00           4.00            1.00            0.00            3.00            
toast           12.00           2.00            0.00            10.00           5.00            0.00            2.00            
toast           13.00           3.00            0.00            3.00            1.00            0.00            3.00            
spring roll     5.00            4.00            10.00           0.00            0.00            0.00            4.00            
spring roll     6.00            1.00            0.00            6.00            0.00            0.00            1.00            
spring roll     7.00            2.00            0.00            5.00            0.00            0.00            2.00            
spring roll     8.00            9.00            10.00           3.00            0.00            0.00            9.00            
spring roll     9.00            10.00           10.00           4.00            0.00            0.00            10.00           
spring roll     10.00           1.00            0.00            4.00            0.00            0.00            1.00            
spring roll     11.00           4.00            10.00           3.00            6.00            0.00            4.00            
spring roll     12.00           10.00           20.00           3.00            5.00            0.00            10.00           
spring roll     13.00           6.00            0.00            8.00            9.00            0.00            6.00            
chicken masala  5.00            8.00            10.00           0.00            0.00            0.00            8.00            
chicken masala  6.00            2.00            0.00            2.00            0.00            0.00            2.00            
chicken masala  7.00            3.00            0.00            0.00            0.00            3.00            0.00            
chicken masala  8.00            0.00            0.00            0.00            0.00            0.00            0.00            
chicken masala  9.00            0.00            10.00           0.00            0.00            0.00            0.00            
chicken masala  10.00           6.00            0.00            10.00           2.00            0.00            6.00            
chicken masala  11.00           0.00            0.00            2.00            0.00            0.00            0.00            
chicken masala  12.00           6.00            10.00           2.00            2.00            0.00            6.00            
chicken masala  13.00           3.00            0.00            4.00            0.00            0.00            3.00            
butter chicken  5.00            10.00           10.00           0.00            0.00            0.00            10.00           
butter chicken  6.00            3.00            10.00           0.00            0.00            0.00            3.00            
butter chicken  7.00            8.00            10.00           7.00            0.00            0.00            8.00            
butter chicken  8.00            8.00            0.00            9.00            0.00            0.00            8.00            
butter chicken  9.00            8.00            10.00           1.00            0.00            0.00            8.00            
butter chicken  10.00           2.00            0.00            3.00            0.00            0.00            2.00            
butter chicken  11.00           3.00            10.00           1.00            0.00            0.00            3.00            
butter chicken  12.00           2.00            0.00            8.00            0.00            0.00            2.00            
